variant,flip_type,id,text,y_true,baseline_pred,variant_pred
strip_mentions,new_fn,10209,"nside a Dragon's belly. Or an ice cave under
a volcano in Kamchatka | Photography by
å©Daniel Korzhonov
http://t.co/8T36HWgoqd",1,1,0
unescape_html,fixed_fp,174,Aftershock: Protect Yourself and Profit in the Next Global Financial Meltdown by David Wiedemer http http://t.co/WZTz4hgMVq,0,1,0
unescape_html,fixed_fp,3589,@booksbyRoger TY for the follow Go To http://t.co/l9MB2j5pXg BRUTALLY ABUSED+DESOLATE&amp;LOST + HER LOVELY MUM DIES..Is it Murder?,0,1,0
unescape_html,new_fp,6759,Phones Offers &gt;&gt; http://t.co/bYtbZ8s5ux #034 8-Pin Lightning Connector 2.1A Car Charger For Apple 5 5S 5C 6 6+ iPÛ_ http://t.co/o3wVScLiCX,0,0,1
unescape_html,new_fn,5282,@CowgirlLawyer We must refuse to become a nation with everyone living in fear of being shot unawares by intoxicated &amp;/or crazy people.,1,1,0
preserve_case,fixed_fp,174,Aftershock: Protect Yourself and Profit in the Next Global Financial Meltdown by David Wiedemer http http://t.co/WZTz4hgMVq,0,1,0
preserve_case,fixed_fp,3589,@booksbyRoger TY for the follow Go To http://t.co/l9MB2j5pXg BRUTALLY ABUSED+DESOLATE&amp;LOST + HER LOVELY MUM DIES..Is it Murder?,0,1,0
preserve_case,fixed_fp,3831,@WoundedPigeon http://t.co/s9soAeVcVo Detonate by @ApolloBrown ft. M.O.P.,0,1,0
preserve_case,fixed_fp,4628,#Healthcare #Job in #Kodiak AK: Emergency Services Supervisor - Emergency... at Providence Health &amp; Services http://t.co/8KJ1wDAiGj #Jobs,0,1,0
preserve_case,fixed_fp,5805,@KMacTWN @meaganerd Looks like a bowl of weather cereal. New! Kellogg's Sugar Hail! Stays crunchy even in milk...,0,1,0
preserve_case,fixed_fn,390,World Annihilation vs Self Transformation http://t.co/pyehwodWun Aliens Attack to Exterminate Humans http://t.co/8jxqL8Cv8Z,1,0,1
preserve_case,fixed_fn,794,Chevrolet : Avalanche LT 2011 lt used 5.3 l v 8 16 v automatic 4 wd pickup truck premium bÛ_ http://t.co/OBkY8Pc89H http://t.co/dXIRnTdSrd,1,0,1
preserve_case,fixed_fn,890,Bioterrorism public health superbug biolabs epidemics biosurveillance outbreaks | Homeland Security News Wire http://t.co/cvhYGwcBZv,1,0,1
preserve_case,fixed_fn,896,@MeyerBjoern @thelonevirologi @MackayIM of a major American newspaper running a series on all the alleged bioterrorism research going on 2/n,1,0,1
preserve_case,fixed_fn,3484,So a train derailed and instead of me getting to work early like I would've I'm now late as fuck,1,0,1
preserve_case,new_fp,353,World Annihilation vs Self Transformation http://t.co/pyehwodWun Aliens Attack to Exterminate Humans http://t.co/pB2N77nSKz,0,0,1
preserve_case,new_fp,2231,@pjcoyle ... need to be included in emergency planning for chemical plants. See also http://t.co/OamqqBNIce,0,0,1
preserve_case,new_fp,3168,Photo: forrestmankins: Colorado camping. http://t.co/S0VgTkhW7V,0,0,1
preserve_case,new_fp,3567,If the Taken movies took place in India 2 (Vine by @JusReign) https://t.co/hxM8C8e33D,0,0,1
preserve_case,new_fp,3969,We haven't seen the devastation from the 2014 Corp. Breaches yet Be Prepared! Get Coverage!: http://t.co/eK6KYHxPE9 http://t.co/Yn6NxOucR1,0,0,1
preserve_case,new_fn,237,"#OMG! I don't believe this. #RIP bro
#AirPlane #Accident #JetEngine #TurboJet #Boing #G90 http://t.co/KXxnSZp6nk",1,1,0
preserve_case,new_fn,1653,@rinkydnk2 @ZaibatsuNews @NeoProgressive1 When push2Left talk='ecology'&amp;'human rts'&amp;'democracy'. War Afghetc='Left' humanitarian bombing,1,1,0
preserve_case,new_fn,1880,501 sky news mandem in totteham going maddddd burning up fed cars an dem ting dere,1,1,0
preserve_case,new_fn,2212,At FEMA's Center for Disaster Preparedness for a weeklong training on Chemical Biological Radioactive Nuclear   Emergency Response,1,1,0
preserve_case,new_fn,2225,Bomb Crash Loot Riot Emergency Pipe Bomb Nuclear Chemical Spill Gas Ricin Leak Violence Drugs Cartel Cocaine Marijuana Heroine Kidnap Bust,1,1,0
