id,issue_type,evidence,original_label,proposed_label,disposition,confidence
8702,duplicate_label_conflict,"dup group ids=[8698, 8702, 8714, 8735, 8739] labels=[1, 0, 0, 1, 1] text='that horrible sinking feeling when youûªve been at home on your phone for a whi...'",0,1,fix,high
8714,duplicate_label_conflict,"dup group ids=[8698, 8702, 8714, 8735, 8739] labels=[1, 0, 0, 1, 1] text='that horrible sinking feeling when youûªve been at home on your phone for a whi...'",0,1,fix,high
8735,duplicate_label_conflict,"dup group ids=[8698, 8702, 8714, 8735, 8739] labels=[1, 0, 0, 1, 1] text='that horrible sinking feeling when youûªve been at home on your phone for a whi...'",1,1,fix,high
8739,duplicate_label_conflict,"dup group ids=[8698, 8702, 8714, 8735, 8739] labels=[1, 0, 0, 1, 1] text='that horrible sinking feeling when youûªve been at home on your phone for a whi...'",1,1,fix,high
9470,duplicate_label_conflict,"dup group ids=[9470, 9472] labels=[0, 1] text='in #islam saving a person is equal in reward to saving all humans! islam is the ...'",0,,ambiguous,low
9472,duplicate_label_conflict,"dup group ids=[9470, 9472] labels=[0, 1] text='in #islam saving a person is equal in reward to saving all humans! islam is the ...'",1,,ambiguous,low
467,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0991 < 0.1, keyword=armageddon, split=dev",1,,ambiguous,medium
796,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0903 < 0.1, keyword=battle, split=dev",1,0,fix,medium
805,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0994 < 0.1, keyword=battle, split=dev",1,0,fix,medium
1040,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0556 < 0.1, keyword=bleeding, split=dev",1,0,fix,medium
1051,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0944 < 0.1, keyword=bleeding, split=dev",1,0,fix,medium
1836,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0938 < 0.1, keyword=burned, split=train",1,,ambiguous,medium
4395,reject_false_positive,"LR(C=3) label=1 but p(target=1)=0.0875 < 0.1, keyword=earthquake, split=dev",1,,reject_false_positive,medium
4711,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0965 < 0.1, keyword=evacuate, split=dev",1,0,fix,medium
5330,reject_false_positive,"LR(C=3) label=0 but p(target=1)=0.9190 > 0.9, keyword=fire, split=train",0,,reject_false_positive,medium
5461,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0832 < 0.1, keyword=flames, split=dev",1,0,fix,medium
5559,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0828 < 0.1, keyword=flattened, split=dev",1,0,fix,medium
6325,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0768 < 0.1, keyword=hostage, split=dev",1,0,fix,medium
6407,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0319 < 0.1, keyword=hurricane, split=dev",1,0,fix,high
7457,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0833 < 0.1, keyword=obliteration, split=dev",1,0,fix,medium
7722,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0429 < 0.1, keyword=panicking, split=dev",1,0,fix,high
7761,reject_false_positive,"LR(C=3) label=0 but p(target=1)=0.9322 > 0.9, keyword=police, split=dev",0,,reject_false_positive,medium
7844,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0890 < 0.1, keyword=quarantine, split=dev",1,0,fix,medium
9276,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0849 < 0.1, keyword=sunk, split=dev",1,0,fix,medium
9738,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0543 < 0.1, keyword=tragedy, split=dev",1,0,fix,medium
9780,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0860 < 0.1, keyword=trapped, split=dev",1,0,fix,medium
10318,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0721 < 0.1, keyword=weapon, split=dev",1,,ambiguous,medium
10823,likely_mislabel,"LR(C=3) label=1 but p(target=1)=0.0532 < 0.1, keyword=wrecked, split=dev",1,0,fix,medium
